province,municipality,barangay
Iloilo,Balasan,Dolores
Iloilo,Balasan,Gimamanay
Iloilo,Balasan,Ipil
Iloilo,Balasan,Kinalkalan
Iloilo,Balasan,Lawis
Iloilo,Balasan,Malapoc
Iloilo,Balasan,Mamhut Norte
Iloilo,Balasan,Mamhut Sur
Iloilo,Balasan,Maya
Iloilo,Balasan,Pani-An
Iloilo,Balasan,Poblacion Norte
Iloilo,Balasan,Poblacion Sur
Iloilo,Balasan,Quiasan
Iloilo,Balasan,Salong
Iloilo,Balasan,Salvacion
Iloilo,Balasan,Tingui-An
Iloilo,Balasan,Zaragosa
Iloilo,San Rafael,Aripdip
Iloilo,San Rafael,Bagacay
Iloilo,San Rafael,Calaigang
Iloilo,San Rafael,Ilongbukid
Iloilo,San Rafael,Poblacion
Iloilo,San Rafael,Poscolon
Iloilo,San Rafael,San Andres
Iloilo,San Rafael,San Dionisio
Iloilo,San Rafael,San Florentino
Iloilo,Cabatuan,Acao
Iloilo,Cabatuan,Amerang
Iloilo,Cabatuan,Amurao
Iloilo,Cabatuan,Anuang
Iloilo,Cabatuan,Ayaman
Iloilo,Cabatuan,Ayong
Iloilo,Cabatuan,Bacan
Iloilo,Cabatuan,Balabag
Iloilo,Cabatuan,Baluyan
Iloilo,Cabatuan,Banguit
Iloilo,Cabatuan,Bulay
Iloilo,Cabatuan,Cadoldolan
Iloilo,Cabatuan,Cagban
Iloilo,Cabatuan,Calawagan
Iloilo,Cabatuan,Calayo
Iloilo,Cabatuan,Duyanduyan
Iloilo,Cabatuan,Gaub
Iloilo,Cabatuan,Gines Interior
Iloilo,Cabatuan,Gines Patag
Iloilo,Cabatuan,Guibuangan Tigbauan
Iloilo,Cabatuan,Inabasan
Iloilo,Cabatuan,Inaca
Iloilo,Cabatuan,Inaladan
Iloilo,Cabatuan,Ingas
Iloilo,Cabatuan,Ito Norte
Iloilo,Cabatuan,Ito Sur
Iloilo,Cabatuan,Janipaan Central
Iloilo,Cabatuan,Janipaan Este
Iloilo,Cabatuan,Janipaan Oeste
Iloilo,Cabatuan,Janipaan Olo
Iloilo,Cabatuan,Jelicuon Lusaya
Iloilo,Cabatuan,Jelicuon Montinola
Iloilo,Cabatuan,Lag-An
Iloilo,Cabatuan,Leong
Iloilo,Cabatuan,Lutac
Iloilo,Cabatuan,Manguna
Iloilo,Cabatuan,Maraguit
Iloilo,Cabatuan,Morubuan
Iloilo,Cabatuan,Pacatin
Iloilo,Cabatuan,Pagotpot
Iloilo,Cabatuan,Pamul-Ogan
Iloilo,Cabatuan,Pamuringao Garrido
Iloilo,Cabatuan,Pamuringao Proper
Iloilo,Cabatuan,Pungtod
Iloilo,Cabatuan,Puyas
Iloilo,Cabatuan,Salacay
Iloilo,Cabatuan,Sulanga
Iloilo,Cabatuan,Tabucan
Iloilo,Cabatuan,Tacdangan
Iloilo,Cabatuan,Talanghauan
Iloilo,Cabatuan,Tigbauan Road
Iloilo,Cabatuan,Tinio-An
Iloilo,Cabatuan,Tiring
Iloilo,Cabatuan,Tupol Central
Iloilo,Cabatuan,Tupol Este
Iloilo,Cabatuan,Tupol Oeste
Iloilo,Cabatuan,Tuy-An
Iloilo,Cabatuan,Zone I Pob. (Barangay 1)
Iloilo,Cabatuan,Zone II Pob. (Barangay 2)
Iloilo,Cabatuan,Zone III Pob. (Barangay 3)
Iloilo,Cabatuan,Zone IV Pob. (Barangay 4)
Iloilo,Cabatuan,Zone IX Pob. (Barangay 9)
Iloilo,Cabatuan,Zone V Pob. (Barangay 5)
Iloilo,Cabatuan,Zone VI Pob. (Barangay 6 )
Iloilo,Cabatuan,Zone VII Pob. (Barangay 7)
Iloilo,Cabatuan,Zone VIII Pob. (Barangay 8)
Iloilo,Cabatuan,Zone X Pob. (Barangay 10)
Iloilo,Cabatuan,Zone XI Pob. (Barangay 11)
Iloilo,Banate,Alacaygan
Iloilo,Banate,Bariga
Iloilo,Banate,Belen
Iloilo,Banate,Bobon
Iloilo,Banate,Bularan
Iloilo,Banate,Carmelo
Iloilo,Banate,De La Paz
Iloilo,Banate,Dugwakan
Iloilo,Banate,Fuentes*
Iloilo,Banate,Juanico
Iloilo,Banate,Libertad
Iloilo,Banate,Magdalo
Iloilo,Banate,Managopaya
Iloilo,Banate,Merced
Iloilo,Banate,Poblacion
Iloilo,Banate,San Salvador
Iloilo,Banate,Talokgangan
Iloilo,Banate,Zona Sur
Iloilo,Zarraga,Balud I
Iloilo,Zarraga,Balud II
Iloilo,Zarraga,Balud Lilo-An
Iloilo,Zarraga,Dawis Centro
Iloilo,Zarraga,Dawis Norte
Iloilo,Zarraga,Dawis Sur
Iloilo,Zarraga,Gines
Iloilo,Zarraga,Ilawod Poblacion
Iloilo,Zarraga,Ilaya Poblacion
Iloilo,Zarraga,Inagdangan Centro
Iloilo,Zarraga,Inagdangan Norte
Iloilo,Zarraga,Inagdangan Sur
Iloilo,Zarraga,Jalaud Norte
Iloilo,Zarraga,Jalaud Sur
Iloilo,Zarraga,Libongcogon
Iloilo,Zarraga,Malunang
Iloilo,Zarraga,Pajo
Iloilo,Zarraga,Sambag
Iloilo,Zarraga,Sigangao
Iloilo,Zarraga,Talauguis
Iloilo,Zarraga,Talibong
Iloilo,Zarraga,Tubigan
Iloilo,Zarraga,Tuburan
Iloilo,Zarraga,Tuburan Sulbod
Iloilo,Duenas,Agutayan
Iloilo,Duenas,Angare
Iloilo,Duenas,Anjawan
Iloilo,Duenas,Baac
Iloilo,Duenas,Bagongbong
Iloilo,Duenas,Balangigan
Iloilo,Duenas,Balingasag
Iloilo,Duenas,Banugan
Iloilo,Duenas,Batuan
Iloilo,Duenas,Bita
Iloilo,Duenas,Buenavista
Iloilo,Duenas,Bugtongan
Iloilo,Duenas,Cabudian
Iloilo,Duenas,Calaca-An
Iloilo,Duenas,Calang
Iloilo,Duenas,Calawinan
Iloilo,Duenas,Capaycapay
Iloilo,Duenas,Capuling
Iloilo,Duenas,Catig
Iloilo,Duenas,Dila-An
Iloilo,Duenas,Fundacion
Iloilo,Duenas,Inadlawan
Iloilo,Duenas,Jagdong
Iloilo,Duenas,Jaguimit
Iloilo,Duenas,Lacadon
Iloilo,Duenas,Luag
Iloilo,Duenas,Malusgod
Iloilo,Duenas,Maribuyong
Iloilo,Duenas,Minanga
Iloilo,Duenas,Monpon
Iloilo,Duenas,Navalas
Iloilo,Duenas,Pader
Iloilo,Duenas,Pandan
Iloilo,Duenas,Poblacion A
Iloilo,Duenas,Poblacion B
Iloilo,Duenas,Poblacion C
Iloilo,Duenas,Poblacion D
Iloilo,Duenas,Ponong Grande
Iloilo,Duenas,Ponong Pequeno
Iloilo,Duenas,Purog
Iloilo,Duenas,Romblon
Iloilo,Duenas,San Isidro
Iloilo,Duenas,Santo Nino
Iloilo,Duenas,Sawe
Iloilo,Duenas,Taminla
Iloilo,Duenas,Tinocuan
Iloilo,Duenas,Tipolo
Iloilo,Calinog,Agcalaga
Iloilo,Calinog,Aglibacao
Iloilo,Calinog,Aglonok
Iloilo,Calinog,Alibunan
Iloilo,Calinog,Badlan Grande
Iloilo,Calinog,Badlan Pequeno
Iloilo,Calinog,Badu
Iloilo,Calinog,Baje San Julian
Iloilo,Calinog,Balaticon
Iloilo,Calinog,Banban Grande
Iloilo,Calinog,Banban Pequeno
Iloilo,Calinog,Barrio Calinog
Iloilo,Calinog,Binolosan Grande
Iloilo,Calinog,Binolosan Pequeno
Iloilo,Calinog,Cabagiao
Iloilo,Calinog,Cabugao
Iloilo,Calinog,Cahigon
Iloilo,Calinog,Camalongo
Iloilo,Calinog,Canabajan
Iloilo,Calinog,Caratagan
Iloilo,Calinog,Carvasana
Iloilo,Calinog,Dalid
Iloilo,Calinog,Datagan
Iloilo,Calinog,Gama Grande
Iloilo,Calinog,Gama Pequeno
Iloilo,Calinog,Garangan
Iloilo,Calinog,Guinbonyugan
Iloilo,Calinog,Guiso
Iloilo,Calinog,Hilwan
Iloilo,Calinog,Impalidan
Iloilo,Calinog,Ipil
Iloilo,Calinog,Jamin-Ay
Iloilo,Calinog,Lampaya
Iloilo,Calinog,Libot
Iloilo,Calinog,Lonoy
Iloilo,Calinog,Malag-It
Iloilo,Calinog,Malaguinabot
Iloilo,Calinog,Malapawe
Iloilo,Calinog,Malitbog Centro
Iloilo,Calinog,Mambiranan
Iloilo,Calinog,Manaripay
Iloilo,Calinog,Marandig
Iloilo,Calinog,Masaroy
Iloilo,Calinog,Maspasan
Iloilo,Calinog,Nalbugan
Iloilo,Calinog,Owak
Iloilo,Calinog,Poblacion Centro
Iloilo,Calinog,Poblacion Delgado
Iloilo,Calinog,Poblacion Ilaya
Iloilo,Calinog,Poblacion Rizal Ilaud
Iloilo,Calinog,San Nicolas
Iloilo,Calinog,Simsiman
Iloilo,Calinog,Supanga
Iloilo,Calinog,Tabucan
Iloilo,Calinog,Tahing
Iloilo,Calinog,Tibiao
Iloilo,Calinog,Tigbayog
Iloilo,Calinog,Toyungan
Iloilo,Calinog,Ulayan
Iloilo,Dumangas,Aurora-Del Pilar (Pob.)
Iloilo,Dumangas,Bacay
Iloilo,Dumangas,Bacong
Iloilo,Dumangas,Balabag
Iloilo,Dumangas,Balud
Iloilo,Dumangas,Bantud
Iloilo,Dumangas,Bantud Fabrica
Iloilo,Dumangas,Baras
Iloilo,Dumangas,Barasan
Iloilo,Dumangas,Basa-Mabini Bonifacio (Pob.)
Iloilo,Dumangas,Bolilao
Iloilo,Dumangas,Buenaflor Embarkadero (Pob.)
Iloilo,Dumangas,Burgos-Regidor (Pob.)
Iloilo,Dumangas,Calao
Iloilo,Dumangas,Cali
Iloilo,Dumangas,Cansilayan
Iloilo,Dumangas,Capaliz
Iloilo,Dumangas,Cayos
Iloilo,Dumangas,Compayan
Iloilo,Dumangas,Dacutan
Iloilo,Dumangas,Ermita
Iloilo,Dumangas,Ilaya 1St
Iloilo,Dumangas,Ilaya 2Nd
Iloilo,Dumangas,Ilaya 3Rd
Iloilo,Dumangas,Jardin
Iloilo,Dumangas,Lacturan
Iloilo,Dumangas,Lopez Jaena - Rizal (Pob.)
Iloilo,Dumangas,Managuit
Iloilo,Dumangas,Maquina
Iloilo,Dumangas,Nanding Lopez
Iloilo,Dumangas,Pagdugue
Iloilo,Dumangas,Paloc Bigque
Iloilo,Dumangas,Paloc Sool
Iloilo,Dumangas,Patlad
Iloilo,Dumangas,Pd Monfort North (Lublub)
Iloilo,Dumangas,Pd Monfort South (Guinsampanan)
Iloilo,Dumangas,Pulao
Iloilo,Dumangas,Rosario
Iloilo,Dumangas,Sapao
Iloilo,Dumangas,Sulangan
Iloilo,Dumangas,Tabucan
Iloilo,Dumangas,Talusan
Iloilo,Dumangas,Tambobo
Iloilo,Dumangas,Tamboilan
Iloilo,Dumangas,Victorias
Iloilo,Iloilo City,Abeto Mirasol Taft South (Quirino Abeto)
Iloilo,Iloilo City,Aguinaldo
Iloilo,Iloilo City,Airport (Tabucan Airport)
Iloilo,Iloilo City,Alalasan Lapuz
Iloilo,Iloilo City,Arguelles
Iloilo,Iloilo City,Arsenal Aduana
Iloilo,Iloilo City,Bakhaw
Iloilo,Iloilo City,Balabago
Iloilo,Iloilo City,Balantang
Iloilo,Iloilo City,Baldoza
Iloilo,Iloilo City,Bantud
Iloilo,Iloilo City,Banuyao
Iloilo,Iloilo City,Baybay Tanza
Iloilo,Iloilo City,Benedicto (Jaro)
Iloilo,Iloilo City,Bito-On
Iloilo,Iloilo City,Bolilao
Iloilo,Iloilo City,Bonifacio (Arevalo)
Iloilo,Iloilo City,Bonifacio Tanza
Iloilo,Iloilo City,Buhang
Iloilo,Iloilo City,Buhang Taft North
Iloilo,Iloilo City,Buntatala
Iloilo,Iloilo City,Burgos-Mabini-Plaza
Iloilo,Iloilo City,Caingin
Iloilo,Iloilo City,Calahunan
Iloilo,Iloilo City,Calaparan
Iloilo,Iloilo City,Calubihan
Iloilo,Iloilo City,Calumpang
Iloilo,Iloilo City,Camalig
Iloilo,Iloilo City,Cochero
Iloilo,Iloilo City,Compania
Iloilo,Iloilo City,Concepcion-Montes
Iloilo,Iloilo City,Cuartero
Iloilo,Iloilo City,Cubay
Iloilo,Iloilo City,Danao
Iloilo,Iloilo City,Delgado-Jalandoni-Bagumbayan
Iloilo,Iloilo City,Democracia
Iloilo,Iloilo City,Desamparados
Iloilo,Iloilo City,Divinagracia
Iloilo,Iloilo City,Don Esteban-Lapuz
Iloilo,Iloilo City,Dulonan
Iloilo,Iloilo City,Dungon
Iloilo,Iloilo City,Dungon A
Iloilo,Iloilo City,Dungon B
Iloilo,Iloilo City,East Baluarte
Iloilo,Iloilo City,East Timawa
Iloilo,Iloilo City,Edganzon
Iloilo,Iloilo City,El 98 Castilla (Claudio Lopez)
Iloilo,Iloilo City,Fajardo
Iloilo,Iloilo City,Flores
Iloilo,Iloilo City,General Hughes-Montes
Iloilo,Iloilo City,Gloria
Iloilo,Iloilo City,Gustilo
Iloilo,Iloilo City,Guzman-Jesena
Iloilo,Iloilo City,Habog-Habog Salvacion
Iloilo,Iloilo City,Hibao-An Norte
Iloilo,Iloilo City,Hibao-An Sur
Iloilo,Iloilo City,Hinactacan
Iloilo,Iloilo City,Hipodromo
Iloilo,Iloilo City,Inday
Iloilo,Iloilo City,Infante
Iloilo,Iloilo City,Ingore
Iloilo,Iloilo City,Jalandoni Estate-Lapuz
Iloilo,Iloilo City,Jalandoni-Wilson
Iloilo,Iloilo City,Javellana
Iloilo,Iloilo City,Jereos
Iloilo,Iloilo City,Kahirupan
Iloilo,Iloilo City,Kasingkasing
Iloilo,Iloilo City,Katilingban
Iloilo,Iloilo City,Kauswagan
Iloilo,Iloilo City,Laguda
Iloilo,Iloilo City,Lanit
Iloilo,Iloilo City,Lapuz Norte
Iloilo,Iloilo City,Lapuz Sur
Iloilo,Iloilo City,Legaspi Dela Rama
Iloilo,Iloilo City,Liberation
Iloilo,Iloilo City,Libertad Santa Isabel
Iloilo,Iloilo City,Libertad-Lapuz
Iloilo,Iloilo City,Loboc-Lapuz
Iloilo,Iloilo City,Lopez Jaena (Jaro)
Iloilo,Iloilo City,Lopez Jaena Norte
Iloilo,Iloilo City,Lopez Jaena Sur
Iloilo,Iloilo City,Luna (Jaro)
Iloilo,Iloilo City,Luna (La Paz)
Iloilo,Iloilo City,M. V. Hechanova
Iloilo,Iloilo City,Mabolo-Delgado
Iloilo,Iloilo City,Macarthur
Iloilo,Iloilo City,Magdalo
Iloilo,Iloilo City,Magsaysay
Iloilo,Iloilo City,Magsaysay Village
Iloilo,Iloilo City,Malipayon-Delgado
Iloilo,Iloilo City,Mansaya-Lapuz
Iloilo,Iloilo City,Marcelo H. Del Pilar
Iloilo,Iloilo City,Maria Clara
Iloilo,Iloilo City,Maria Cristina
Iloilo,Iloilo City,Mohon
Iloilo,Iloilo City,Molo Boulevard
Iloilo,Iloilo City,Monica Blumentritt
Iloilo,Iloilo City,Montinola
Iloilo,Iloilo City,Muelle Loney-Montes
Iloilo,Iloilo City,Nabitasan
Iloilo,Iloilo City,Navais
Iloilo,Iloilo City,Nonoy
Iloilo,Iloilo City,North Avancena
Iloilo,Iloilo City,North Baluarte
Iloilo,Iloilo City,North Fundidor
Iloilo,Iloilo City,North San Jose
Iloilo,Iloilo City,Obrero-Lapuz
Iloilo,Iloilo City,Onate De Leon
Iloilo,Iloilo City,Ortiz
Iloilo,Iloilo City,Osmena
Iloilo,Iloilo City,Our Lady Of Fatima
Iloilo,Iloilo City,Our Lady Of Lourdes
Iloilo,Iloilo City,Pale Benedicto Rizal (Mandurriao)
Iloilo,Iloilo City,Phhc Block 17
Iloilo,Iloilo City,Phhc Block 22 Nha
Iloilo,Iloilo City,Poblacion Molo
Iloilo,Iloilo City,President Roxas
Iloilo,Iloilo City,Progreso-Lapuz
Iloilo,Iloilo City,Punong-Lapuz
Iloilo,Iloilo City,Quezon
Iloilo,Iloilo City,Quintin Salas
Iloilo,Iloilo City,Railway
Iloilo,Iloilo City,Rima-Rizal
Iloilo,Iloilo City,Rizal (La Paz)
Iloilo,Iloilo City,Rizal Estanzuela
Iloilo,Iloilo City,Rizal Ibarra
Iloilo,Iloilo City,Rizal Palapala I
